start	end	text
13760	21120	Al comune i ds reggono una conscrizione, la prego di sparmiarmi, però la ho per un giornalista
21120	25320	per un uomo molto informato, adesso ha un po' più di tempo poi, quindi penso di poterla
25360	33080	sollecitare su questo argomento. La prego ci basta Orlando con gli internazionalismi,
34800	44560	manteniamoci sullezioni. La domanda è questa, al comune i ds confermano un sostegno a Orlando
44560	50420	in una giunta che scriccola, ci sono mugugni perché Orlando flerta un po' con il centro
50420	59760	sinistra e punterebbe alla candidatura alla regione. La sua rappresentazione della politica
59760	64220	palermitana è molto interessante, non saprei che dire sull'argomento perché naturalmente
64220	73360	non sono aggiunti alle mie orecchie. Sulla candidatura del centrosinistra per il governo
73360	78760	della regione decideranno i siciliani. Avevo un grandissimo rispetto per le autonomie,
78760	83600	in particolare quella siciliana ha una grande storia e penso che sarebbe veramente uno
83600	89480	sgarbo se un uomo politico che viene da Roma pretendesse di dire lui chi deve governare
89480	90480	la Sicilia.
98140	104220	La sinistra ha fallito nel perseguire l'obiettivo di una società uguale per tutti, ma cosa
104220	106220	si dovrebbe fare quindi per un'uguaglianza?
107740	112060	Io ho detto che il mito di una società di eguale, il mito della società comunista è
112060	119360	fallito, questo è alle nostre spalle, ma non per questo è venuta meno la necessità
119360	127080	di battersi contro le diseguaglianze e per l'eguaglianza tra le persone, intendendo l'eguaglianza
127080	133620	non come livellamento, perché non siamo tutti eguali, ma come capacità di consentire
133620	140760	a ciascuno di promuovere le sue capacità umane, le sue possibilità e questo è quello
140760	147400	che cerchiamo di fare attraverso l'educazione, lottando contro l'esclusione sociale e anche
147400	151860	offrendo un'opportunità ai paesi più poveri del mondo, un'opportunità di crescita e
151860	152660	di benessere.
152740	157020	Un'ottima domanda sulle cooperative rosse, Giannopolo e Parisi continuano a svingere
157020	161940	le loro accuse, ma la procura continua ad insistere dicendo che loro avrebbero favorito
161940	163800	delle imprese vicino a Cosa Nostra?
165580	173900	Guardi, io ho un rispetto per la magistratura, quindi l'indagine si farà, avrà i suoi risultati
173900	180000	sul fatto che Giannopolo e Parisi potessero sostenere Cosa Nostra.
