start	end	text
0	4840	considerare in provincia che ringrazio e con una serie di amici a partire naturalmente
4840	11120	da Ermete e poi Cristina, Pina e tutti coloro che hanno collaborato a questo nostro appuntamento
11120	17540	scelga proprio questa sede per parlare non soltanto di una grandezza del passato ma di
17540	23000	una straordinaria sfida del nostro futuro. Credo che non ci sia un futuro per la politica
23000	27920	se non c'è la capacità di mettere questi temi al centro dell'agenda politica. Non
27920	33240	è facile perché comunque è un argomento che suscita sempre la difficoltà di bucare
33240	38660	se non tra gli addetti ai lavori. A me pare che recuperare una dimensione ai giovani alle
38660	44360	nuove generazioni di attori non sulla base di slogan ideologici ma di concrete opportunità
44360	49480	nel mondo politico e nel mondo sociale del nostro Paese sia la cosa più bella che l'Italia
49480	53780	può avere e la cosa più bella che la Margherita può fare per valorizzare i propri talenti.
53780	59040	E allora il mio è soltanto un grazie di cuore davvero, un grazie ai tanti amici autorevolissimi
59040	65020	delle associazioni nazionali che sono presenti qui, un grazie agli amici che sono presenti
65020	69240	e per i quali chiediamo scusa per l'acustica che non sarà granché, si sentirà meglio
69240	73980	probabilmente nella saletta accanto dove c'è a circuito chiuso la possibilità di
73980	77960	stare anche un po' più freschi e un grazie in particolar modo a Ermete con il quale nel
77960	82420	mese di agosto ci siamo sentiti più volte ma l'idea di provare a riiniziare questo
82420	88800	mese di settembre che segna la ripartenza a partire evidentemente per noi dall'importantissima
88800	93400	festa toscana, la festa nazionale ma è toscana a Porto Santo Stefano della Margherita i giorni
93400	97600	di Europa è però il modo migliore per dire che in quest'anno elettorale noi abbiamo voglia
97600	104100	di mettere i giovani nella loro dimensione non di oggetti di slogan ma di soggetti attivi
104100	108480	della società civile al centro dell'azione politica della Margherita, forse il modo
108480	112640	più bello che possiamo avere per dimostrare che anche la storia della nostra Firenze,
112780	116480	la storia del Palazzo Medici e la storia dei Lapira e dei Don Milani che abbiamo visto
116480	120000	nel video può avere un futuro non soltanto ricordando.
