start	end	text
0	8820	Sono cresciuto a Roma, ho vissuto qui per 19 anni e mi sento un cittadino romano, come tutti gli altri Roma.
9420	18800	La mia città è qui. Voglio vivere la mia vita qui a Roma, perché siamo tutti umani qua. Grazie a tutti.
26180	32800	Allora, diamo la parola al signor ministro amato del messiaio dell'interno.
41200	59800	Vedete, il caso di Sbonco è un caso che dimostra i paradossi disumani a cui si può arrivare in un'era nella quale si vive soltanto attraverso i documenti che si hanno, altrimenti non si esiste.
60880	72100	E da quel che ho capito, per molti di noi procurarsi un documento è la cosa più difficile del mondo. Ci possono volere mesi o danni.
73520	97280	Lui esiste, è lì. Lo conosco, so che ha vissuto a Roma, so che ha studiato a Roma. Lui per me legalmente non c'è, perché non ha un'identità, non ha una documentazione, non ha neanche una cittadinanza diversa da quella italiana, non ha niente.
97280	111460	E' un caso paradossale, anche se non è l'unico, che stiamo cercando di ricostruire sulla base della legislazione vigente, facendo una cosa che se ve la dico non ci credete neanche.
111460	138460	Cominceremo col dargli, spero nei prossimi giorni ci stanno lavorando, un documento di viaggio che gli permetterà di girare almeno liberamente per l'Italia senza rischiare. Sulla base poi di questo documento di viaggio, questo è caduto, sono troppi, non vengono. Che devo fare per rispettare la concorrenza?
141460	164520	Qualcuno li dovrebbe tenere. Gli si darà un permesso di soggiorno e poi terza tappa potrà arrivare alla cittadinanza. Questo accade in un mondo nel quale ci si muove per necessità, per mille ragioni.
164520	194000	Lui non l'ha detto pudicamente, ma da ultimo sua sorella è morta in quel campo. E' quella ragazza, quando c'è stato l'incendio giorni fa. Non è neanche sua sorella per lo stato italiano. E' una situazione che ti fa vergognare in qualche modo, di vivere in un sistema in cui cose del genere possano accadere.
194520	218520	Ci vorrà per cambiare. Ma qui ha ragione chi ha detto, l'avete detto in tanti e si è cominciato così, e non bastano le leggi. Non basta la riforma della legge sull'immigrazione, abrogazione della bossi fini, su questo non ci piove.
221710	239070	Non solo perché ci vogliono anche altre leggi, ma perché, Osama lo sa, e da quando ci conosciamo che io dico, non bastano le leggi. Questo è in primo luogo un fatto di cultura individuale collettiva.
242950	260010	Noi viviamo in una comunità nella quale si sono formati pregiudizi, che sono alla base dei giudizi. E i pregiudizi devono essere rimossi. E c'è un lavoro da fare per rimuoverli.
260010	287990	Per questo ho chiamato anche i mass media, la televisione, alle loro responsabilità nel presentare una realtà nella quale viviamo ormai una comunità in cui il colore della pelle, la provenienza e la religione spesso non sono il fattore più importante, e quando ci sono vanno capiti per quello che sono e non respinti perché sono diversi.
