start	end	text
7900	14860	Buongiorno a tutti loro, dichiaro aperta la seduta. Prima di passare all'ordine del
14860	21160	giorno, ha chiesto di parlare il professor Verde, mia facoltà.
24500	31720	Grazie Presidente. Per la verità questa per me è una giornata di assoluto riposo perché è lei che
31720	41120	oggi guiderà questa seduta. Io ho chiesto di parlare solamente perché, come noterà, è la prima
41120	50200	volta che il nuovo Ministro della Giustizia è qui con noi e quindi era opportuno, era necessario che
50280	58860	a nome di tutti i componenti del Consiglio Superiore, dessi lui il benvenuto e facessi
58860	66080	a lui gli auguri di buon lavoro per poi discutere più pacatamente e in occasione più appropriata dei
66080	73140	problemi della giustizia. Quindi oggi è una prima presa di contatto ma sicuramente, penso,
73300	80220	ne seguiranno delle altre a breve. Ho chiesto la parola soltanto per dargli il benvenuto e
80220	90980	per auspicare questa collaborazione fruttuosa per il futuro. Io ho voluto che fosse il
90980	99380	vicepresidente al professor Verde che abitualmente presiede i lavori di questa
99380	110200	assemblea a dare il primo benvenuto al ministro Castelli. Sono ben lieto di aggiungere il mio
110200	120220	benvenuto e anche da parte mia di esprimermi gli auguri più vivi di un buon lavoro. Sono
120220	125920	destinati a fallire finita. Credo, ne sono convinto, che sia arrivato il momento di
125920	132000	imboccarsi le maniche. Io ho già cominciato e sarò lieto e auspico di avervi accanto nel
132000	146080	mio lavoro. Auguro anche a voi buon lavoro. Grazie, chior ministro, per le parole che ha detto e penso
146080	156240	che tutti quanti in questa assemblea si condivida la necessità di affrontare i temi della giustizia
157360	168280	con quanto è più possibile, con spirito di concretezza. Ora passiamo all'ordine del giorno
168280	174880	che rega il conferimento dell'incarico di direttivo superiore del primo presidente della Corte di
174880	184740	Sazione. Della votazione volevo chiedere la parola. Sulle modalità di votazione, cioè
184740	191040	dell'operazione successiva. Se non ci sono altri interventi di merito, potremmo passare ora alla
191040	200200	votazione. La votazione avverrà salvo per ballottaggio. Sono il consigliere Rossi. Chiedo
200200	205520	la parola sulle modalità della votazione. A nome anche dei consiglieri Mattone, Viazzi,
205600	211940	Gilardi e Di Casola, chiedo che la votazione non avvenga per ballottaggio, ai sensi dell'articolo
211940	217480	26, sesto comma del regolamento. Chiedo inoltre che la votazione avvenga per appello nominale.
219840	224620	Presidente, volevo solo far presente che non posso ovviamente oppormi al rifiuto del sistema
224620	231900	del ballottaggio, ma tale scelta non ci consente di votare a favore del dott. Favara e ci costringe
231900	243400	a votare contro altro validissimo candidato. Per quanto riguarda il regolamento del Consiglio,
244880	250500	avviene per ballottaggio a meno che non vi siano 5 consiglieri che chiedano al vice che
250500	260620	venga sulle relazioni. Ci sono 5 consiglieri. Allora la votazione avverrà per appello nominale
260620	266580	ed ora il segretario generale estrarrà la lettera da dove comincieremo e avverrà sulla
266580	283440	relazione di maggioranza. Prima a votare il consigliere Mauro Ronco. A favore della relazione
283440	312000	di maggioranza. Rossi. Serio. Smirne. Spataro. Toro. Vela. Verde. Biazzi. Visconti.
314500	330360	Anzeli. No. Cafferra. No. Cassano. Favorevole. Consolo. Favorevole. D'Angelo. No. Di Cagno.
331360	360320	Di Casola. Favorevole. Ferrara. Gallitto. Favorevole. Gallo. Favorevole. Gilardi. Favorevole.
361720	373260	Parziale. Pastore Alinante. Resta. Riccio. Romèi Pasetti.
382880	389260	Ho approfitto per dichiarare che come di norma non partecipo alla votazione.
409640	433240	L'esero nella votazione dà che favorevoli 16, contrari 10, astenuti 4. Quindi proclamo
434440	443760	di lasciare e desidero sottolineare in primo luogo l'alto senso di responsabilità a
443760	452200	quella quale è avvenuta questa riunione e mi rendo conto come questa votazione abbia
453820	461880	comportato per ciascuno di voi una decisione sofferta. Vorrei con l'occasione solamente
461880	474420	di esprimere le mie felicitazioni all'eletto e gli auguri vivissimi di buon lavoro e desidero
474420	480060	prima di chiudere l'unione di rivolgere un saluto, un ringraziamento.
