start	end	text
4100	12620	Abbiamo bisogno adesso di credere in noi, di avere entusiasmo, di avere passione, con
12620	15920	l'entusiasmo e con la passione si arriva da tutti, cioè qualcuno non ci crede tanto?
16660	20540	No, no, io credo che tutti ci credano, hanno tutti una gran voglia di farlo, poi ci sarà
20540	26780	qualche eccezione, ma la maggioranza grande, l'altra grande maggioranza degli eletti,
26780	31060	quindi da tutti gli elettori insieme della Casa della Libertà ha voglia di impegnarsi,
31320	37380	di battersi ed è convinta che in Italia ci sia da sempre una maggioranza moderata e
37380	44660	io sono convinto di questo, quando non c'è stata? Non l'abbiamo vinto nel 1996, ma c'era
44660	49240	un pezzo importante, quello rappresentato dagli elettori della Lega che non erano con
49240	54340	noi, eppure in quell'occasione abbiamo fatto 300 mila voti in più rispetto alla sinistra,
54340	59920	quindi la maggioranza moderata non si è smentita nemmeno in quell'occasione e su queste elezioni
59920	64680	regionali il primo errore l'ho fatto io, che non ho fatto campagna elettorale e moltissime
64680	68700	persone hanno detto, ma se lui non ha fatto campagna elettorale evidentemente non hanno
68700	73440	un significato politico e quindi per la regione che vado a votare a fare cosa mi cambia nella
73440	79000	mia vita? Andate a domandargli cosa gli cambia nella sua vita a ciascuno di questi 92 signori
79000	84880	che hanno risposto così per le elezioni il fatto che ci sia un governo liberale o un
84880	88800	governo di sinistra, e vedrete che hanno una risposta molto precisa.
96760	107520	Io sono convinto che noi riusciremo a varare questo grande nuovo soggetto politico, sono
107520	113200	convinto che ci saranno, io auspico che possa esserci, qualcuno della Lega mi ha detto saremo
113200	117660	la grande corrente del nord, ci sarà una corrente del sud, ci sarà una corrente del
117660	125020	nord, praticamente il mio sogno è un grande, no no, anzi fuori da tutti i vecchi giochi
126040	131240	senza per questo assolutamente toccare la funzione della DC che ci ha fatto crescere
131240	137220	nel benessere, nella democrazia per tanti anni, ma un partito senza quei vecchi modi
137220	141240	di fare politiche che proprio noi vogliamo siano superati.
143620	151660	Ma però ha detto che non è vero che è stato freddo il mio discorso di ieri, io non posso
154120	161060	diventare caro osio qui invece a una natura diversa, comunque poi so da tante rassicolazioni
161060	166820	che abbiamo avuto che la loro posizione è di sostegno a questo governo, e d'altronde
166820	173320	hanno messo ministri, hanno messo sottosegretari nel governo, so che anche per quanto riguarda
173320	178340	l'ipotesi del partito sono disponibili a parlarne nel loro prossimo congresso e a collaborare
178340	179700	con noi in questa direzione.
180000	189520	Ma sulla sinistra Presidente, no, volevo dire che io non sarò, no, no, no, ho detto
189520	194320	che non starò in panchina sul parco pubblico perché grazie a Dio ho risorse sufficienti
194320	197980	per scegliere panchine dove voglio e magari anche panchine private.
198440	202080	Io sono stato riguardosissimo in tutta la prima parte del mio discorso, poi l'ho cominciato
202080	209440	a fare bu bu bu bu su cose che non sono assolutamente vere e allora senza offendere nessuno, ma
209440	212640	ho detto delle cose che sono assolutamente realistiche.
212800	217060	Punto primo il fatto che diffondono pessimismo a pieni e mani, quando uno arriva dicendo
217060	223280	che siamo disperati, va tutto male, siamo al declino, siamo alla miseria e la gente
223280	228440	poi a finire che qualcuno, qualche anima candida ci crede e quindi abbiamo dei consumi
228440	232500	che aumentano di meno di quelli che potrebbero aumentare se ci fossi un clima di maggiore
232500	233600	fiducia nel paese.
233980	238580	Questo è una cosa incontrovertibile, andate a chiederlo a tutte le case di sondaggi e
238580	244600	vedrete che vi dicono che un'atmosfera negativa messa in giro sul media, sulle televisioni
244600	250140	e eccetera, influisce sui comportamenti dei cittadini come consumatori, influisce sui comportamenti
250140	255240	degli imprenditori e quindi può determinare una differenza rispetto agli altri paesi,
255380	260100	per cui noi siamo oggi il fanalino di coda dell'Europa quanto a crescita, ma attenzione
260880	265880	che anche negli anni della sinistra siamo sempre stati gli ultimi rispetto alla crescita
265880	271480	degli altri, perché hanno strutture industriali che sono molto più radicate tecnologicamente
271480	277220	avanzate rispetto alle nostre, ma questo è un percorso di lungo periodo, non è una cosa
277220	282320	che si può attribuire al governo nostro, è un discorso che viene dapprima.
282420	289000	La proposta di Tremonti l'hai buttata lì come una delle tante cose che ci sono e non
289000	294140	voleva dire che i problemi del mezzogiorno si risolvono con quell'unica misura, ha indicato
294140	300400	nella possibilità di prolungare le concessioni una delle fonti di reddito che vogliamo avere
300400	308560	se vogliamo diminuire il debito pubblico dobbiamo alienare dei beni immobili, dobbiamo
308560	313920	liberalizzare certe imprese e quindi anche quello può essere una delle tante cose che
313920	314640	si possono fare.
