start	end	text
12880	20800	Ringrazio il Presidente della Repubblica per l'alto onore che mi ha riservato per la fiducia
20800	28000	che ha voluto dimostrarmi con il conferimento dell'incarico di formare il Governo.
28980	33720	Secondo la consuetudine, mi sono riservato di accettare.
35480	45040	Mi applicherò a formare un Governo che, dalla natura stessa della scelta che il Presidente della Repubblica ha fatto,
45700	52000	conferendo a me l'incarico, trae finalità definite, precise.
53840	63100	In primo luogo, assecondare la riforma elettorale alla quale il Parlamento sta attendendo.
64520	79120	È questa la priorità assoluta, ieri richiamata dal Capo dello Stato, del pari che dovrà essere dato seguito agli altri esiti referendari.
80880	95260	Nel mentre si compiano questi adempimenti, il Governo dovrà portare innanzi, con rinnovato vigore, il risanamento delle pubbliche finanze,
96180	106120	risanamento inteso come riduzione del disavanzo, qualificazione della spesa, maggiore equità fiscale.
108000	114520	Promuovere il rafforzamento e l'ammodernamento dell'apparato produttivo,
115820	122420	sì che in esso l'occupazione trovi sostegno e sviluppo.
123420	134020	Assicurare, frenando l'implazione, il valore reale dei salari, dei redditi del risparmio.
135580	143800	Proseguire e intensificare la lotta alla criminalità in tutte le sue manifestazioni.
145040	155600	In politica estera, confermare l'orientamento nelle linee di pace, di costruzione dell'Unità Europea,
156220	163400	di alleanze, linee alle quali il nostro Paese non è mai venuto meno.
166620	173400	D'intesa con il Capo dello Stato, al quale il mio proposito, riferire al più presto,
174020	178040	non procederò a consultazioni formali.
