start	end	text
0	10840	Noi siamo qui anche per dichiarare la nostra fermo volontà, perché questi delitti non
10840	20680	rimangono impuniti e non si ripetono e sia chiaro che le situazioni straordinarie richiedono
20680	29340	un risposto straordinario e che noi non possiamo quindi limitarci dopo questi eventi alla ordinaria
29340	37600	delle registrazioni. E quindi noi chiediamo una operazione straordinaria di controllo
37600	48040	e di bonifica della Locride e delle altre zone ad alta criminalità della Calabria, una operazione
48040	60780	da affidarsi a contingenti interforze sotto un comando o di un prefetto o del vice capo
60780	70520	della Polizia. In secondo luogo noi chiediamo un intervento del TSM per mettere in atto
70520	78020	misure e incentivi che permettono un rapidissimo aumento dei magistrati operanti in Calabria
78660	81840	e in particolare in questa zona.
82220	86140	Presidente, qualcuno fa un paragone con l'omicidio di Piersanti Mattarella?
90240	100420	Ma certamente fa impressione il fatto che sia stato ucciso mentre esercitava un diritto
100560	111140	una scelta, perché in questi casi è chiaro che vuole essere un ammonimento per chi esercita
111140	119000	questa scelta. Lo avrebbero potuto uccidere in qualsiasi altro momento e forse, anzi,
119120	128980	senz'altro più facilmente lo hanno fatto per un obiettivo politico.
