start	end	text
0	5240	proprio nell'auspicata prospettiva di una ripresa del processo riformatore.
5520	6440	Vi ringrazio.
12540	15980	Allora, ringraziamo tutti il professor Neppimodra, non solo per quello che ha detto ma anche
15980	20840	per aver coordinato questo lavoro, il ministro Amato.
22780	30620	Il Guido ha ragione, era da molto tempo che non ci si cimentava in un lavoro del genere.
30940	37720	Io avevo insieme a Giuseppe Branca all'inizio degli anni 70 costruito un commentario ben
37720	45280	più ponderoso perché è una quantità sterminata di volumi che fu assai difficile organizzare.
47000	56280	Erano invecchiati i commentari esistenti, questo è un commentario molto vivo sia nella
56280	65420	parte che riguarda la Costituzione destinata a restare immutata, la prima parte, sia nelle
65420	72360	pagine attraverso le quali vengono esaminati i prodotti della bicamerale.
72360	77100	Il commentario, come diceva Guido, è organizzato articolo per articolo.
77360	84100	C'è un commento a ciascun articolo della prima parte che dà conto di tutto ciò che
84100	91080	è venuto intervenendo sino ad oggi nell'interpretazione delle disposizioni di quell'articolo e c'è
91080	95620	per la seconda parte della Costituzione un commento duplice.
95660	101080	C'è quello che riguarda l'articolo scritto con le stesse modalità dei commenti agli
101280	109560	articoli della prima parte e c'è poi un commento alle modifiche che sono state proposte sull'articolo
109560	110080	stesso.
110800	120240	La seconda parte è naturalmente quella che oggi attira la maggiore attenzione e non può
120240	127580	non attirare la mia per ragioni istituzionali in realtà e su questa finirò per soffermarmi
127580	135320	questi pochi minuti proprio sottoponendo ai presenti e agli assenti l'utilità della
135320	142300	lettura di queste pagine che sono la migliore testimonianza del fatto che con tutti i suoi
142300	147640	difetti la bicamerale aveva prodotto qualcosa di sostanzioso.
148000	155440	Il sol fatto che una buona metà di questo commentario abbia modo di misurarsi con le
155440	162480	modifiche introdotte dalla bicamerale testimonia del fatto che in queste modifiche c'era della
162480	163060	sostanza.
163420	170840	Naturalmente non tutte le soluzioni adottate dalla bicamerale erano e sono perfette, alcune
170840	175020	vengono contestate in realtà anche in questo commentario.
176560	182800	Non era di sicuro perfetta la soluzione trovata a proposito del Presidente della Repubblica,
182800	189720	l'autore del commento su questa parte era forse il più qualificato per sottolineare
